ID;Name;Energie, Kalorien (kcal);Fett, total (g);Kohlenhydrate, verfügbar (g);Protein (g);Bezugseinheit;Kategorie;Dichte;gesättigte Fettsäuren;Zucker;NutriScore-Wert
158;Paprika (Gewürz);358;13;34,9;14,8;pro 100g essbarer Anteil;Verschiedenes/Salz, Gewürze und Aromen;;;;
159;Paranuss;698;66,5;4,2;17;pro 100g essbarer Anteil;Nüsse, Samen und Ölfrüchte;;;;
160;Parmesan;401;31;0,3;30,5;pro 100g essbarer Anteil;Milch und Milchprodukte/Hartkäse;;;;
161;Pestosauce, grün;430;42,5;6,6;3,9;pro 100g essbarer Anteil;Verschiedenes/Saucen;;;;
162;Pestosauce, rot;398;35,8;10,8;5,7;pro 100g essbarer Anteil;Verschiedenes/Saucen;;;;
163;Petersilie, roh;58;0,5;7,4;3,9;pro 100g essbarer Anteil;Gemüse/Kräuter;;;;
164;Pfirsich, gelb, roh;43;0,1;8,9;0,8;pro 100g essbarer Anteil;Früchte/Früchte frisch;;;;
165;Pflaume, roh;48;0,2;10,2;0,6;pro 100g essbarer Anteil;Früchte/Früchte frisch;;0;8,8;-5
166;Pilz (Durchschnitt), roh;29;0,4;0,6;3,5;pro 100g essbarer Anteil;Gemüse/Pilze;;;;
167;Pistazie;594;45,4;17,6;23,8;pro 100g essbarer Anteil;Nüsse, Samen und Ölfrüchte;;;;
168;Pizza al tonno, gebacken;226;7,6;26,5;12;pro 100g essbarer Anteil;Gerichte/Italienische Gerichte;;;;
169;Pizza Hawaii, gebacken;195;6,3;24,2;9,5;pro 100g essbarer Anteil;Gerichte/Italienische Gerichte;;;;
170;Pizza Margherita, gebacken;238;8,4;29,9;9,9;pro 100g essbarer Anteil;Gerichte/Italienische Gerichte;;;;
171;Pizza Prosciutto e Funghi, gebacken;204;6,9;23,9;10,7;pro 100g essbarer Anteil;Gerichte/Italienische Gerichte;;;;
172;Pizza Prosciutto, gebacken;218;6,4;28,7;10,6;pro 100g essbarer Anteil;Gerichte/Italienische Gerichte;;;;
173;Pizza Quattro Formaggi, gebacken;297;10,6;37,2;12,3;pro 100g essbarer Anteil;Gerichte/Italienische Gerichte;;;;
174;Pommes Frites (im Ofen gebacken), ungesalzen;232;9,1;33;3,3;pro 100g essbarer Anteil;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln;;;;
175;Pommes Frites (in HO Sonnenblumenöl frittiert), ungesalzen;286;15,4;32,4;3,2;pro 100g essbarer Anteil;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln;;;;
176;Popcorn;367;4,2;62,9;12;pro 100g essbarer Anteil;Salzige Snacks/Sonstige salzige Snacks;;;;
177;Huhn, Brust, ohne Haut, roh;107;1;0;24,6;pro 100g essbarer Anteil;Fleisch und Innereien/Geflügel;;0,3;0;-4
178;Huhn, Brust, Schnitzel oder Geschnetzeltes, gebraten (ohne Zusatz von Fett und Salz);128;0,8;0;30,1;pro 100g essbarer Anteil;Fleisch und Innereien/Geflügel;;;;
179;Huhn, Schenkel, mit Haut, roh;163;10,2;0;17,9;pro 100g essbarer Anteil;Fleisch und Innereien/Geflügel;;3,2;0;0
180;Pudding, Vanille;102;2,1;18;2,8;pro 100g essbarer Anteil;Süssigkeiten/Cremen und Pudding;;;;
181;Quark, nature, mager;61;0,2;4,2;10,6;pro 100g essbarer Anteil;Milch und Milchprodukte/Frischkäse und Quark;;;;
182;Radieschen, roh;17;0,1;2,1;1,1;pro 100g essbarer Anteil;Gemüse/Gemüse frisch;;0;2,1;-6
183;Rapsöl;810;90;0;0;pro 100 ml;Fette und Öle/Öle;0,9;;;
184;Ratatouille, zubereitet;45;2,2;4;1,4;pro 100g essbarer Anteil;Gemüse/Gemüse gekocht (inkl. Konserven);;;;
185;Reibkäse;406;32,1;0;29,3;pro 100g essbarer Anteil;Milch und Milchprodukte/Hartkäse;;;;
186;Reis unpoliert, gekocht in Salzwasser (unjodiert);126;1;25,7;2,7;pro 100g essbarer Anteil;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Reis;;;;
187;Rind, Entrecôte, medium gebraten (ohne Zusatz von Fett und Salz);162;4,6;0;30,2;pro 100g essbarer Anteil;Fleisch und Innereien/Rind;;;;
188;Rind, Entrecôte, roh;133;4,5;0;23,2;pro 100g essbarer Anteil;Fleisch und Innereien/Rind;;;;
